"term","c","cDis"
"individual",4859,4859
"writer",4856,4856
"spread",4848,4848
"bigger",4845,4845
"thinks",4845,4845
"businesses",4844,4844
"parking",4838,4838
"williams",4836,4836
"trial",4833,4833
"guard",4832,4832
"commercial",4831,4831
"seconds",4830,4830
"pulled",4829,4829
"christian",4828,4828
"subject",4828,4828
"hahaha",4824,4824
"kick",4822,4822
"camp",4816,4816
"arizona",4814,4814
"century",4813,4813
"december",4812,4812
"holy",4810,4810
"avenue",4807,4807
"episode",4806,4806
"reached",4803,4803
"fund",4800,4800
"remains",4790,4790
"surprised",4790,4790
"cuts",4789,4789
"knowledge",4784,4784
"selling",4780,4780
"boston",4774,4774
"rule",4771,4771
"skills",4771,4771
"miami",4768,4768
"francisco",4757,4757
"creating",4756,4756
"section",4753,4753
"china",4748,4748
"debt",4745,4745
"helps",4743,4743
"clothes",4741,4741
"magic",4736,4736
"nobody",4734,4734
"direction",4730,4730
"christ",4729,4729
"somewhere",4723,4723
"arts",4722,4722
"approach",4721,4721
"ryan",4719,4719
"source",4715,4715
"inspired",4711,4711
"limited",4710,4710
"digital",4708,4708
"yea",4706,4706
"administration",4705,4705
"mouth",4705,4705
"largest",4704,4704
"pm",4699,4699
"beauty",4697,4697
"stuck",4695,4695
"likes",4694,4694
"yo",4693,4693
"grade",4692,4692
"notes",4690,4690
"delicious",4685,4685
"necessary",4685,4685
"firm",4681,4681
"construction",4676,4676
"flight",4674,4674
"anti",4668,4668
"fantastic",4668,4668
"ticket",4655,4655
"pro",4646,4646
"closer",4643,4643
"cat",4640,4640
"coast",4640,4640
"continued",4640,4640
"mile",4640,4640
"mid",4639,4639
"paying",4636,4636
"fill",4634,4634
"global",4631,4631
"happening",4623,4623
"cooking",4618,4618
"ladies",4618,4618
"opinion",4618,4618
"buying",4614,4614
"movement",4613,4613
"designed",4610,4610
"host",4607,4607
"joy",4605,4605
"covered",4600,4600
"traditional",4598,4598
"jack",4595,4595
"push",4592,4592
"efforts",4590,4590
"state's",4589,4589
"dropped",4588,4588
"competition",4585,4585
"wind",4584,4584
"celebrate",4576,4576
"schedule",4574,4574
"carry",4572,4572
"provided",4572,4572
"ugh",4569,4569
"willing",4567,4567
"k",4566,4566
"somebody",4564,4564
"readers",4559,4559
"spokesman",4556,4556
"detroit",4554,4554
"congress",4552,4552
"menu",4551,4551
"artists",4546,4546
"milk",4546,4546
"slightly",4545,4545
"ends",4538,4538
"sea",4537,4537
"rates",4534,4534
"yay",4531,4531
"cast",4530,4530
"stores",4530,4530
"pair",4523,4523
"talent",4520,4520
"october",4517,4517
"stick",4517,4517
"ain't",4516,4516
"q",4513,4513
"teaching",4505,4505
"thousands",4500,4500
"shout",4493,4493
"location",4490,4490
"british",4489,4489
"yard",4489,4489
"jim",4478,4478
"republicans",4478,4478
"tip",4477,4477
"additional",4476,4476
"greatest",4473,4473
"chinese",4472,4472
"arrested",4468,4468
"setting",4467,4467
"famous",4466,4466
"fly",4459,4459
"prison",4457,4457
"moments",4455,4455
"stadium",4452,4452
"easter",4450,4450
"shall",4450,4450
"enjoying",4449,4449
"published",4446,4446
"honor",4445,4445
"commission",4439,4439
"pages",4428,4428
"bridge",4421,4421
"august",4419,4419
"bread",4416,4416
"returned",4414,4414
"serving",4412,4412
"keeps",4405,4405
"possibly",4399,4399
"mobile",4396,4396
"em",4395,4395
"options",4393,4393
"rise",4387,4387
"pool",4386,4386
"martin",4382,4382
"singing",4379,4379
"changing",4376,4376
"grew",4374,4374
"killing",4366,4366
"mother's",4365,4365
"baltimore",4364,4364
"freedom",4362,4362
"forced",4356,4356
"fellow",4342,4342
"bright",4340,4340
"primary",4336,4336
"becoming",4333,4333
"everyday",4331,4331
"golden",4331,4331
"authorities",4326,4326
"fighting",4326,4326
"nba",4320,4320
"unique",4320,4320
"features",4318,4318
"specific",4313,4313
"justin",4309,4309
"highly",4300,4300
"prepared",4299,4299
"jump",4294,4294
"kinda",4290,4290
"option",4284,4284
"scheduled",4276,4276
"explain",4275,4275
"feature",4274,4274
"towards",4274,4274
"forgot",4270,4270
"treatment",4270,4270
"alive",4268,4268
"powerful",4267,4267
"noticed",4263,4263
"denver",4262,4262
"purpose",4255,4255
"countries",4254,4254
"vegas",4254,4254
"iphone",4247,4247
"resources",4244,4244
"code",4239,4239
"cry",4239,4239
"fully",4237,4237
"speech",4237,4237
"september",4232,4232
"trees",4232,4232
"attempt",4228,4228
"theme",4227,4227
"mission",4225,4225
"matt",4222,4222
"meat",4222,4222
"significant",4222,4222
"western",4222,4222
"yards",4221,4221
"majority",4215,4215
"flowers",4210,4210
"treat",4205,4205
"enter",4204,4204
"turning",4204,4204
"democratic",4199,4199
"begins",4195,4195
"fruit",4183,4183
"promise",4176,4176
"airport",4173,4173
"mary",4173,4173
"charles",4172,4172
"teach",4170,4170
"democrats",4167,4167
"protect",4166,4166
"foundation",4165,4165
"patients",4161,4161
"handle",4160,4160
"mentioned",4160,4160
"journey",4155,4155
"continues",4154,4154
"becomes",4153,4153
"path",4153,4153
"quiet",4153,4153
"greater",4147,4147
"paint",4138,4138
"soft",4138,4138
"jackson",4137,4137
"literally",4137,4137
"gotten",4134,4134
"meaning",4128,4128
"tiny",4126,4126
"unfortunately",4123,4123
"standard",4118,4118
"posts",4117,4117
"bottle",4116,4116
"southern",4111,4111
"nyc",4107,4107
"gov",4106,4106
"peter",4106,4106
"dm",4105,4105
"strength",4104,4104
"otherwise",4102,4102
"owners",4101,4101
"progress",4089,4089
"championship",4088,4088
"claim",4088,4088
"balance",4087,4087
"meal",4083,4083
"random",4083,4083
"appear",4077,4077
"gym",4077,4077
"purchase",4077,4077
"mountain",4076,4076
"dc",4075,4075
"murder",4075,4075
"civil",4071,4071
"cities",4070,4070
"agent",4063,4063
"decisions",4063,4063
"levels",4063,4063
"brings",4060,4060
"measure",4060,4060
"bringing",4059,4059
"television",4059,4059
"draw",4056,4056
"images",4056,4056
"bob",4052,4052
"female",4051,4051
"memory",4049,4049
"background",4041,4041
"leadership",4037,4037
"lie",4035,4035
"neither",4035,4035
"diego",4029,4029
"seattle",4029,4029
"2nd",4028,4028
"laws",4026,4026
"funding",4023,4023
"machine",4014,4014
"wins",4012,4012
"afraid",4011,4011
"appeared",4009,4009
"actual",4008,4008
"labor",4008,4008
"improve",4003,4003
"injury",4002,4002
"status",4002,4002
"youth",4001,4001
"copy",3999,3999
"compared",3997,3997
"edge",3995,3995
"hanging",3994,3994
"revenue",3992,3992
"streets",3992,3992
"campus",3989,3989
"capital",3985,3985
"city's",3984,3984
"joined",3984,3984
"breaking",3983,3983
"bunch",3982,3982
"ff",3974,3974
"governor",3973,3973
"agreement",3972,3972
"tech",3972,3972
"accept",3969,3969
"division",3969,3969
"usual",3966,3966
"authority",3965,3965
"extremely",3963,3963
"exercise",3960,3960
"gorgeous",3959,3959
"nights",3953,3953
"tho",3951,3951
"seeking",3950,3950
"pack",3948,3948
"signs",3945,3945
"tournament",3945,3945
"update",3945,3945
"bike",3942,3942
"discovered",3937,3937
"appears",3936,3936
"contest",3936,3936
"faces",3936,3936
"magazine",3935,3935
"debate",3929,3929
"cuz",3928,3928
"lately",3923,3923
"parties",3913,3913
"grown",3912,3912
"rice",3910,3910
"multiple",3908,3908
"apart",3901,3901
"politics",3900,3900
"sides",3893,3893
"guilty",3891,3891
"honest",3890,3890
"row",3889,3889
"damage",3887,3887
"apartment",3886,3886
"farm",3886,3886
"fix",3885,3885
"gun",3877,3877
"da",3876,3876
"uk",3873,3873
"adult",3872,3872
"offering",3871,3871
"santa",3871,3871
"criminal",3870,3870
"mothers",3868,3868
"miller",3866,3866
"shape",3863,3863
"birth",3862,3862
"discussion",3861,3861
"steps",3856,3856
"sing",3853,3853
"arms",3847,3847
"managed",3847,3847
"wondering",3846,3846
"wood",3844,3844
"activities",3842,3842
"aside",3840,3840
"filed",3840,3840
"advantage",3834,3834
"vehicle",3826,3826
"direct",3822,3822
"partner",3821,3821
"basic",3817,3817
"target",3815,3815
"concerned",3814,3814
"bear",3810,3810
"region",3807,3807
"hopes",3804,3804
"shared",3804,3804
"y'all",3801,3801
"inspiration",3795,3795
"acting",3794,3794
"inc",3792,3792
"larger",3792,3792
"demand",3791,3791
"tim",3787,3787
"complex",3786,3786
"yellow",3782,3782
"boyfriend",3774,3774
"houston",3770,3770
"ppl",3769,3769
"crew",3768,3768
"considering",3766,3766
"michigan",3765,3765
"animal",3764,3764
"davis",3762,3762
"europe",3761,3761
"variety",3761,3761
"hop",3760,3760
"violence",3760,3760
"thx",3754,3754
"army",3752,3752
"remove",3750,3750
"missouri",3747,3747
"assistant",3745,3745
"golf",3741,3741
"surgery",3738,3738
"described",3736,3736
"request",3736,3736
"investment",3733,3733
"younger",3732,3732
"friendly",3731,3731
"giants",3731,3731
"films",3730,3730
"foreign",3730,3730
"kevin",3730,3730
"thus",3729,3729
"sky",3728,3728
"brothers",3727,3727
"smaller",3727,3727
"somehow",3727,3727
"claims",3726,3726
"ending",3726,3726
"focused",3723,3723
"pan",3722,3722
"degrees",3718,3718
"tweeting",3718,3718
"egg",3711,3711
"falling",3711,3711
"solid",3710,3710
"activity",3708,3708
"heads",3707,3707
"lights",3703,3703
"sites",3703,3703
"seasons",3700,3700
"basically",3699,3699
"funds",3697,3697
"wit",3697,3697
"slowly",3696,3696
"aware",3695,3695
"junior",3690,3690
"placed",3690,3690
"era",3689,3689
"expensive",3685,3685
"hitting",3685,3685
"everywhere",3683,3683
"housing",3682,3682
"animals",3680,3680
"memories",3677,3677
"bored",3674,3674
"directly",3673,3673
"vacation",3672,3672
"van",3668,3668
"population",3667,3667
"hundreds",3660,3660
"driver",3659,3659
"highest",3652,3652
"understanding",3652,3652
"eggs",3649,3649
"frank",3648,3648
"uses",3648,3648
"blues",3645,3645
"jr",3642,3642
"candidate",3641,3641
"drinks",3641,3641
"truck",3640,3640
"comfortable",3639,3639
"bills",3636,3636
"caused",3632,3632
"terrible",3630,3630
"loud",3628,3628
"produce",3628,3628
"guest",3626,3626
"crisis",3623,3623
"customer",3623,3623
"decades",3623,3623
"ordered",3622,3622
"writers",3620,3620
"officially",3618,3618
"attend",3614,3614
"colors",3612,3612
"craft",3612,3612
"theater",3611,3611
"plants",3610,3610
"colorado",3609,3609
"plate",3602,3602
"medium",3596,3596
"anywhere",3594,3594
"banks",3592,3592
"european",3591,3591
"spoke",3591,3591
"environment",3588,3588
"strange",3588,3588
"mass",3586,3586
"material",3585,3585
"disease",3584,3584
"estate",3582,3582
"emergency",3580,3580
"taught",3577,3577
"owned",3570,3570
"fifth",3569,3569
"independent",3568,3568
"lee",3568,3568
"moon",3568,3568
"tips",3567,3567
"decade",3564,3564
"panel",3564,3564
"kansas",3559,3559
"admit",3555,3555
"earned",3554,3554
"effective",3549,3549
"quote",3549,3549
"pic",3545,3545
"blessed",3541,3541
"failure",3540,3540
"horse",3537,3537
"proposed",3536,3536
"feelings",3534,3534
"cutting",3533,3533
"actions",3531,3531
"click",3529,3529
"salad",3529,3529
"familiar",3528,3528
"l",3526,3526
"religious",3525,3525
"mexico",3521,3521
"ring",3517,3517
"trail",3517,3517
"alcohol",3516,3516
"anybody",3515,3515
"hungry",3514,3514
"windows",3513,3513
"discuss",3512,3512
"impossible",3510,3510
"awards",3507,3507
"legs",3507,3507
"william",3506,3506
"drugs",3501,3501
"approved",3498,3498
"christie",3495,3495
"rep",3486,3486
"generally",3485,3485
"millions",3483,3483
"joke",3482,3482
"require",3466,3466
"zone",3466,3466
"illinois",3460,3460
"storm",3460,3460
"videos",3457,3457
"dancing",3455,3455
"incredible",3454,3454
"proposal",3453,3453
"honestly",3451,3451
"concerns",3449,3449
"jan",3447,3447
"evil",3446,3446
"increased",3443,3443
"waste",3442,3442
"sending",3440,3440
"print",3439,3439
"defensive",3438,3438
"restaurants",3438,3438
"brian",3437,3437
"sleeping",3437,3437
"richard",3433,3433
"candidates",3432,3432
"staying",3432,3432
"y",3432,3432
"choices",3429,3429
"playoffs",3429,3429
"pounds",3426,3426
"dish",3423,3423
"feed",3421,3421
"suddenly",3416,3416
"smell",3415,3415
"empty",3414,3414
"ad",3413,3413
"chairman",3408,3408
"drama",3406,3406
"obvious",3406,3406
"leads",3405,3405
"sexual",3402,3402
"offense",3401,3401
"therefore",3401,3401
"smoke",3398,3398
"vice",3391,3391
"adults",3389,3389
"chose",3389,3389
"route",3387,3387
"remaining",3384,3384
"arm",3382,3382
"noted",3381,3381
"musical",3374,3374
"pepper",3374,3374
"allows",3373,3373
"suit",3373,3373
"pitch",3372,3372
"profile",3370,3370
"confidence",3368,3368
"connection",3368,3368
"mental",3368,3368
"phoenix",3363,3363
"v",3361,3361
"channel",3359,3359
"challenges",3358,3358
"active",3356,3356
"pleasure",3354,3354
"smh",3351,3351
"stress",3351,3351
"stone",3348,3348
"clients",3347,3347
"opportunities",3347,3347
"professor",3345,3345
"separate",3345,3345
"desire",3343,3343
"feb",3341,3341
"tight",3340,3340
"passing",3337,3337
"chapter",3335,3335
"ingredients",3334,3334
"reduce",3334,3334
"doors",3331,3331
"dollar",3329,3329
"gop",3324,3324
"fb",3321,3321
"presence",3318,3318
"hole",3316,3316
"master",3316,3316
"jazz",3313,3313
"stood",3308,3308
"worried",3307,3307
"grace",3306,3306
"tears",3297,3297
"chair",3295,3295
"fox",3295,3295
"pray",3294,3294
"awkward",3292,3292
"blame",3292,3292
"native",3289,3289
"dallas",3288,3288
"atlanta",3287,3287
"generation",3286,3286
"corporate",3283,3283
"meanwhile",3283,3283
"critical",3281,3281
"fail",3280,3280
"ms",3277,3277
"mood",3271,3271
"taylor",3266,3266
"associated",3265,3265
"children's",3261,3261
"talks",3260,3260
"recommend",3259,3259
"ceo",3258,3258
"lakers",3258,3258
"seek",3255,3255
"bird",3253,3253
"responsible",3252,3252
"ex",3250,3250
"pants",3250,3250
"provides",3248,3248
"gain",3246,3246
"mess",3245,3245
"studies",3245,3245
"village",3242,3242
"mixed",3239,3239
"cell",3238,3238
"flat",3236,3236
"apply",3234,3234
"conditions",3234,3234
"usa",3233,3233
"visiting",3232,3232
"stayed",3228,3228
"boss",3225,3225
"england",3225,3225
"fabulous",3224,3224
"youtube",3222,3222
"emotional",3221,3221
"tied",3220,3220
"cheap",3219,3219
"giant",3217,3217
"tony",3217,3217
"harder",3216,3216
"ages",3215,3215
"vision",3215,3215
"newark",3214,3214
"passion",3214,3214
"committed",3213,3213
"jeff",3212,3212
"african",3208,3208
"woke",3207,3207
"systems",3205,3205
"letting",3202,3202
"spanish",3198,3198
"negative",3196,3196
"circle",3194,3194
"guide",3193,3193
"moves",3193,3193
"oven",3191,3191
"ed",3190,3190
"yep",3190,3190
"doctors",3187,3187
"soup",3185,3185
"dangerous",3184,3184
"entertainment",3184,3184
"citizens",3179,3179
"ipad",3177,3177
"task",3177,3177
"lay",3176,3176
"plane",3173,3173
"unit",3172,3172
"scared",3171,3171
"struck",3170,3170
"whenever",3170,3170
"women's",3165,3165
"develop",3164,3164
"flying",3162,3162
"limit",3162,3162
"grant",3160,3160
"ate",3159,3159
"shown",3154,3154
"chef",3150,3150
"fingers",3146,3146
"beers",3142,3142
"completed",3141,3141
"nick",3140,3140
"standards",3138,3138
"prize",3134,3134
"ray",3134,3134
"ave",3133,3133
"correct",3131,3131
"matters",3131,3131
"male",3129,3129
"protection",3129,3129
"angry",3128,3128
"package",3127,3127
"concept",3126,3126
"congratulations",3126,3126
"drew",3125,3125
"alex",3123,3123
"drunk",3120,3120
"condition",3119,3119
"coverage",3119,3119
"investors",3119,3119
"god's",3118,3118
"shower",3118,3118
"soccer",3117,3117
"offensive",3116,3116
"rare",3116,3116
"comedy",3111,3111
"believed",3110,3110
"sets",3110,3110
"abuse",3109,3109
"meetings",3109,3109
"markets",3106,3106
"massive",3106,3106
"fired",3105,3105
"foods",3101,3101
"plain",3099,3099
"ugly",3099,3099
"suggested",3095,3095
"anniversary",3091,3091
"exchange",3089,3089
"carolina",3088,3088
"boring",3087,3087
"victims",3086,3086
"walls",3086,3086
"pot",3083,3083
"plastic",3082,3082
"regional",3081,3081
"flavor",3078,3078
"legislation",3076,3076
"rush",3072,3072
"chat",3071,3071
"cleaning",3065,3065
"deals",3065,3065
"profit",3064,3064
"inch",3063,3063
"allowing",3062,3062
"ny",3060,3060
"produced",3060,3060
"blazers",3054,3054
"injuries",3052,3052
"silver",3051,3051
"juice",3050,3050
"cookies",3049,3049
"sir",3048,3048
"enforcement",3047,3047
"net",3047,3047
"noon",3047,3047
"hollywood",3046,3046
"solution",3046,3046
"checking",3045,3045
"posting",3040,3040
"behavior",3036,3036
"tend",3034,3034
"baking",3032,3032
"seats",3030,3030
"perform",3029,3029
"fiction",3026,3026
"incident",3026,3026
"urban",3025,3025
"advance",3024,3024
"communities",3024,3024
"figured",3024,3024
"dirty",3023,3023
"deserve",3021,3021
"lil",3020,3020
"views",3020,3020
"dozen",3019,3019
"pics",3018,3018
"prevent",3017,3017
"heaven",3016,3016
"threw",3016,3016
"inning",3009,3009
"conservative",3008,3008
"papers",3008,3008
"voted",3007,3007
"playoff",3006,3006
"dan",3005,3005
"leg",3005,3005
"mistake",3005,3005
"declined",3004,3004
"strategy",3003,3003
"transportation",3002,3002
"cats",2997,2997
"forest",2994,2994
"workout",2994,2994
"presidential",2993,2993
"core",2992,2992
"environmental",2992,2992
"consumers",2991,2991
"forces",2990,2990
"developed",2982,2982
"launch",2978,2978
"individuals",2977,2977
"perfectly",2977,2977
"diet",2975,2975
"prove",2975,2975
"metal",2974,2974
"blogs",2971,2971
"lies",2971,2971
"sept",2971,2971
"italian",2970,2970
"packed",2970,2970
"guitar",2969,2969
"prefer",2969,2969
"appeal",2965,2965
"3rd",2964,2964
"favor",2963,2963
"crying",2961,2961
"candy",2957,2957
"fake",2957,2957
"immigration",2957,2957
"distance",2955,2955
"determined",2953,2953
"effects",2952,2952
"button",2950,2950
"stands",2947,2947
"pace",2944,2944
"barely",2943,2943
"thanksgiving",2943,2943
"basis",2942,2942
"theatre",2942,2942
"ben",2937,2937
"experts",2937,2937
"h",2934,2934
"drove",2933,2933
"topic",2931,2931
"blow",2930,2930
"accident",2929,2929
"grab",2927,2927
"nearby",2922,2922
"accepted",2919,2919
"located",2919,2919
"bags",2918,2918
"patient",2918,2918
